text,label,
What causes tooth decay?,"Tooth decay is caused by bacteria in the mouth that produce acid from sugars, which erodes tooth enamel.",
How often should I brush my teeth?,You should brush your teeth twice a day for at least two minutes each time.,
Is flossing necessary?,"Yes, flossing daily helps remove plaque and food particles between teeth that brushing can't reach.",
What is gingivitis?,"Gingivitis is inflammation of the gums caused by plaque buildup, often leading to redness and bleeding.",
How can I prevent bad breath?,"To prevent bad breath, brush and floss regularly, stay hydrated, and visit your dentist for underlying issues.",
Why do my gums bleed when I brush?,Bleeding gums are often a sign of gingivitis or improper brushing; consult a dentist if it persists.,
What is a dental abscess?,"A dental abscess is a pus-filled infection in the tooth or gums, often causing pain and swelling.",
How do I know if I have a cavity?,"Signs of a cavity include tooth sensitivity, pain when chewing, or visible holes in the tooth.",
Can teeth whitening damage enamel?,"Professional teeth whitening is generally safe, but overuse of abrasive products can weaken enamel.",
What foods are bad for teeth?,"Sugary foods, acidic drinks, and sticky candies can harm teeth by promoting decay.",
How often should I visit the dentist?,"Visit the dentist every six months for cleanings and checkups, or as recommended.",
What is plaque?,Plaque is a sticky film of bacteria that forms on teeth and can lead to decay and gum disease.,
Why are my teeth sensitive to cold?,"Tooth sensitivity to cold can result from enamel erosion, gum recession, or cavities.",
How does smoking affect dental health?,"Smoking can cause gum disease, tooth staining, bad breath, and increase oral cancer risk.",
What is a root canal?,A root canal is a procedure to remove infected pulp from a tooth to save it from extraction.,
Can I reverse a cavity?,"Early-stage cavities can sometimes be reversed with fluoride and better oral hygiene, but advanced cavities require fillings.",
What causes yellow teeth?,"Yellow teeth can be caused by staining from food, drinks, smoking, or natural aging.",
How do I treat a toothache?,"Rinse with warm water, floss gently, and take over-the-counter pain relief; see a dentist promptly.",
What is tartar?,Tartar is hardened plaque that forms on teeth and can only be removed by a dentist.,
Are electric toothbrushes better?,"Electric toothbrushes can be more effective at removing plaque, especially for those with limited dexterity.",
Why do I have white spots on my teeth?,"White spots on teeth can be due to early decay, fluorosis, or enamel defects.",
How can I strengthen my enamel?,"Strengthen enamel with fluoride toothpaste, a balanced diet, and avoiding acidic foods.",
What is bruxism?,"禁止使用条款和条件适用于您所在国家/地区。了解更多信息，请访问我们的网站：https://www.example.com/terms-and-conditions
What is a dental crown?""","A dental crown is a cap placed over a damaged tooth to restore its shape, strength, and appearance."
Can children get gum disease?,"Yes, children can develop gum disease, often due to poor oral hygiene or plaque buildup.",
How does sugar affect teeth?,"Sugar feeds bacteria in the mouth, producing acid that erodes enamel and causes cavities.",
What is a dental implant?,A dental implant is a metal post surgically placed in the jawbone to support a replacement tooth.,
Why do my teeth hurt when I eat sweets?,"Tooth pain from sweets can indicate a cavity, cracked tooth, or exposed dentin.",
